state1,Total_exp
"Jammu & Kashmir",882183.9
"Himachal Pradesh",385938
"Punjab",830592
"Chandigarh",82054.75
"Uttarakhand",531871.2
"Haryana",857775
"Delhi",276480
"Rajasthan",1339272
"Uttar Pradesh",2374648
"Bihar",1418781
"Sikkim",201771
"Arunachal Pradesh",417596.5
"Nagaland",267517.6
"Manipur",1022831
"Mizoram",331621
"Tripura",532200
"Meghalaya",413866.7
"Assam",1189486
"West Bengal",1273891
"Jharkhand",863547.6
"Orissa",1184487
"Chattisgarh",721009
"Madhya Pradesh",1261996
"Gujrat",975232
"Daman and Diu",54656
"Dadra and Nagar Haveli",43745.75
"Maharashtra",
"Andhra Pradesh",787706.9
"Karnataka",
"Goa",
"Lakshadweep",
"Kerela",
"TN",
"Puducherry",
"A&NIsland",
"Telangana",
